,age,workclass,education,educational.num,marital.status,race,gender,hours.per.week,income
0,16.0 - 25.0,Private,11th,7,Never-married,Black,Male,36.0 - 40.0,<=50K
1,35.0 - 40.0,Private,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,<=50K
2,25.0 - 31.0,Local-gov,Assoc-acdm,12,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
3,40.0 - 45.0,Private,Some-college,10,Married-civ-spouse,Black,Male,36.0 - 40.0,>50K
4,31.0 - 35.0,Private,10th,6,Never-married,White,Male,0.0 - 36.0,<=50K
5,58.0 - 90.0,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,White,Male,0.0 - 36.0,>50K
6,16.0 - 25.0,Private,Some-college,10,Never-married,White,Female,36.0 - 40.0,<=50K
7,50.0 - 58.0,Private,7th-8th,4,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
8,58.0 - 90.0,Private,HS-grad,9,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
9,35.0 - 40.0,Federal-gov,Bachelors,13,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
10,25.0 - 31.0,Private,HS-grad,9,Never-married,White,Female,36.0 - 40.0,<=50K
11,45.0 - 50.0,Private,HS-grad,9,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
12,40.0 - 45.0,Private,Masters,14,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
13,16.0 - 25.0,State-gov,Some-college,10,Never-married,White,Male,0.0 - 36.0,<=50K
14,40.0 - 45.0,Private,HS-grad,9,Married-civ-spouse,White,Female,0.0 - 36.0,<=50K
15,35.0 - 40.0,Private,HS-grad,9,Widowed,White,Female,0.0 - 36.0,<=50K
16,35.0 - 40.0,Private,Doctorate,16,Married-civ-spouse,Asian-Pac-Islander,Male,40.0 - 50.0,>50K
17,31.0 - 35.0,Private,Bachelors,13,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
18,31.0 - 35.0,Private,Some-college,10,Never-married,Black,Female,0.0 - 36.0,<=50K
19,16.0 - 25.0,Private,Bachelors,13,Never-married,White,Male,40.0 - 50.0,<=50K
20,16.0 - 25.0,Private,Bachelors,13,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
21,40.0 - 45.0,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,White,Male,50.0 - 99.0,>50K
22,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Male,0.0 - 36.0,<=50K
23,16.0 - 25.0,Private,HS-grad,9,Separated,Black,Male,50.0 - 99.0,<=50K
24,50.0 - 58.0,Private,HS-grad,9,Married-civ-spouse,White,Male,0.0 - 36.0,<=50K
25,31.0 - 35.0,Self-emp-not-inc,Some-college,10,Never-married,White,Male,50.0 - 99.0,<=50K
26,45.0 - 50.0,State-gov,Some-college,10,Married-civ-spouse,Black,Male,36.0 - 40.0,>50K
27,50.0 - 58.0,Self-emp-not-inc,11th,7,Widowed,White,Female,40.0 - 50.0,<=50K
28,16.0 - 25.0,Self-emp-not-inc,Bachelors,13,Never-married,White,Male,40.0 - 50.0,<=50K
29,16.0 - 25.0,Local-gov,Some-college,10,Married-civ-spouse,White,Male,36.0 - 40.0,<=50K
30,25.0 - 31.0,Private,HS-grad,9,Divorced,White,Female,36.0 - 40.0,<=50K
31,35.0 - 40.0,Local-gov,Bachelors,13,Married-civ-spouse,White,Male,36.0 - 40.0,>50K
32,16.0 - 25.0,Private,5th-6th,3,Never-married,White,Male,40.0 - 50.0,<=50K
33,16.0 - 25.0,Private,10th,6,Never-married,White,Male,36.0 - 40.0,<=50K
34,16.0 - 25.0,Private,HS-grad,9,Never-married,White,Male,36.0 - 40.0,<=50K
35,58.0 - 90.0,Private,Masters,14,Married-civ-spouse,White,Male,40.0 - 50.0,>50K
